ED_COUNTER,ED_AF3, ED_F7, ED_F3, ED_FC5, ED_T7,ED_P7, ED_O1, ED_O2, ED_P8, ED_T8, ED_FC6, ED_F4,ED_F8, ED_AF4,mix1,mix2
-4.430,"4,455.3845","4,130.7691","4,288.2050","4,197.4358","4,530.7691","4,126.1537","4,103.5896","4,315.3845","4,662.5640","4,279.9999","4,592.8204","4,412.8204","4,587.6922","4,346.1537",109.231,
-4.422,"4,447.1794","4,118.9743","4,276.4102","4,191.7948","4,513.3332","4,085.1281","4,097.4358","4,305.6409","4,653.8460","4,268.2050","4,577.9486","4,398.9743","4,573.3332","4,336.4102",110.769,
-4.414,"4,424.1025","4,099.4871","4,257.4358","4,195.8973","4,492.8204","4,069.2307","4,092.3076","4,304.6153","4,650.7691","4,267.6922","4,553.8460","4,383.0768","4,557.4358","4,312.8204",111.282,
-4.406,"4,442.5640","4,125.1281","4,278.9743","4,199.9999","4,510.7691","4,131.7948","4,113.3332","4,332.8204","4,679.9999","4,300.5127","4,584.1025","4,410.7691","4,584.6153","4,336.9230",105.641,
-4.398,"4,454.3589","4,141.5384","4,289.7435","4,199.4871","4,530.7691","4,154.8717","4,115.8973","4,337.9486","4,689.2307","4,308.7178","4,601.5383","4,419.4871","4,594.3589","4,351.2819",103.077,
-4.391,"4,436.9230","4,119.9999","4,268.2050","4,194.8717","4,517.4358","4,118.4614","4,095.8973","4,314.8717","4,665.6409","4,289.7435","4,573.3332","4,392.3076","4,566.1537","4,325.1281",111.795,
-4.383,"4,437.9486","4,117.9486","4,270.2563","4,192.3076","4,511.2819","4,114.8717","4,098.9743","4,316.9230","4,665.6409","4,293.3332","4,570.7691","4,394.3589","4,566.6666","4,324.6153",113.333,
-4.375,"4,435.3845","4,122.5640","4,273.8460","4,197.4358","4,515.8973","4,118.4614","4,103.5896","4,323.0768","4,669.2307","4,280.5127","4,576.9230","4,401.5384","4,572.3076","4,329.7435",105.641,
-4.367,"4,432.3076","4,121.5384","4,271.2819","4,198.4614","4,523.5896","4,107.6922","4,099.9999","4,320.5127","4,666.6666","4,267.6922","4,569.7435","4,398.4614","4,565.1281","4,323.5896",108.718,
-4.359,"4,435.8973","4,118.4614","4,273.3332","4,196.4102","4,514.3589","4,096.9230","4,094.3589","4,310.7691","4,661.0255","4,279.4871","4,563.0768","4,393.3332","4,557.4358","4,319.9999",115.897,
-4.352,"4,437.9486","4,120.5127","4,273.3332","4,197.9486","4,505.6409","4,103.0768","4,095.3845","4,307.1794","4,654.3589","4,285.1281","4,567.1794","4,393.8460","4,559.9999","4,318.9743",118.974,
-4.344,"4,443.0768","4,128.2050","4,274.3589","4,197.4358","4,522.0512","4,124.1025","4,105.1281","4,321.5384","4,661.0255","4,281.5384","4,577.4358","4,401.0255","4,570.2563","4,322.0512",121.026,
-4.336,"4,432.3076","4,113.3332","4,263.5896","4,196.4102","4,511.2819","4,111.7948","4,096.9230","4,314.3589","4,656.9230","4,264.6153","4,560.5127","4,391.2819","4,558.4614","4,311.7948",120.513,
-4.328,"4,437.9486","4,112.8204","4,268.2050","4,198.4614","4,492.3076","4,104.6153","4,095.3845","4,309.7435","4,659.4871","4,269.7435","4,563.0768","4,395.3845","4,557.9486","4,318.4614",119.487,
-4.320,"4,451.7948","4,128.7178","4,275.3845","4,199.4871","4,497.9486","4,118.4614","4,104.6153","4,321.0255","4,661.0255","4,277.4358","4,583.0768","4,403.0768","4,563.5896","4,325.6409",126.154,
-4.313,"4,434.3589","4,117.9486","4,259.9999","4,198.4614","4,507.6922","4,102.5640","4,097.9486","4,306.6666","4,641.5383","4,246.1537","4,560.5127","4,380.5127","4,548.2050","4,302.5640",131.795,
-4.305,"4,432.8204","4,111.2820","4,259.4871","4,196.9230","4,510.2563","4,086.6666","4,094.3589","4,297.4358","4,641.0255","4,243.0768","4,542.0512","4,375.8973","4,551.2819","4,299.4871",133.333,
-4.297,"4,437.9486","4,107.1794","4,257.9486","4,199.4871","4,489.7435","4,094.8717","4,091.7948","4,299.9999","4,643.5896","4,262.5640","4,548.2050","4,376.9230","4,550.2563","4,302.5640",135.385,
-4.289,"4,436.4101","4,108.7178","4,251.7948","4,195.8973","4,489.7435","4,114.3589","4,093.8461","4,303.5896","4,646.6666","4,269.2307","4,558.9742","4,366.6666","4,543.5896","4,298.9743",137.436,
-4.281,"4,439.9999","4,120.5127","4,255.3845","4,191.7948","4,503.0768","4,122.0512","4,100.5127","4,308.7178","4,653.8460","4,271.2819","4,562.0512","4,365.1281","4,555.3845","4,304.1025",135.897,
-4.273,"4,437.4358","4,117.4358","4,256.9230","4,195.3845","4,491.2819","4,117.4358","4,103.0768","4,311.7948","4,646.1537","4,258.9743","4,548.7178","4,363.5896","4,546.1537","4,297.9486",139.487,
-4.266,"4,436.9230","4,111.7948","4,261.5384","4,198.9743","4,498.4614","4,114.3589","4,105.6409","4,315.3845","4,650.7691","4,258.4614","4,547.1794","4,366.1537","4,531.7948","4,296.9230",140.000,
-4.258,"4,429.7435","4,099.9999","4,256.4102","4,198.9743","4,504.1025","4,104.6153","4,096.9230","4,309.2307","4,657.4358","4,266.6666","4,552.3076","4,366.6666","4,544.1025","4,300.5127",129.231,
-4.250,"4,429.7435","4,096.9230","4,253.3332","4,196.4102","4,490.7691","4,106.6666","4,096.9230","4,317.4358","4,664.6153","4,281.0255","4,565.1281","4,371.7948","4,573.3332","4,308.2050",121.539,
-4.242,"4,430.2563","4,095.3845","4,254.8717","4,193.8461","4,490.7691","4,107.6922","4,098.9743","4,321.0255","4,667.6922","4,290.2563","4,572.8204","4,374.3589","4,580.5127","4,309.7435",120.513,
-4.234,"4,423.5896","4,088.2050","4,252.8204","4,196.9230","4,496.4101","4,102.5640","4,095.8973","4,307.1794","4,657.9486","4,281.5384","4,570.2563","4,373.3332","4,573.8460","4,306.1537",117.436,
